Домашняя команда,Гостевая команда,Дата,Стадион,Город,home_score,guest_score
Лидс,Юнайтед,15.05.2022,Элланд Роуд,Лидс,1,1
Астон,Вилла,15.05.2022,Вилла Парк,Бирмингем,1,1
Эвертон,Брентфорд,15.05.2022,Гудисон Парк,Ливерпуль,2,3
Ньюкасл,Юнайтед,16.05.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,0
Саутгемптон,Ливерпуль,17.05.2022,Сент-Мэри,Саутгемптон,1,2
Эвертон,Кристал,19.05.2022,Гудисон Парк,Ливерпуль,3,2
Астон,Вилла,19.05.2022,Вилла Парк,Бирмингем,1,1
Челси,Лестер,19.05.2022,Стэмфорд Бридж,Лондон,1,1
Норвич,Сити,22.05.2022,Кэрроу Роуд,Норидж,0,5
Ливерпуль,Вулверхэмптон,22.05.2022,Энфилд,Ливерпуль,3,1
Челси,Уотфорд,22.05.2022,Стэмфорд Бридж,Лондон,2,1
Лестер,Сити,22.05.2022,Кинг Пауэр,Лестер,4,1
Кристал,Пэлас,22.05.2022,Селхерст Парк,Лондон,1,0
Манчестер,Сити,22.05.2022,Этихад (Сити оф Манчестер),Манчестер,3,2
Ньюкасл,Юнайтед,22.05.2022,Тёрф Мур,Бернли,1,2
Брентфорд,Лидс,22.05.2022,Брентфорд Коммьюнити,Брентфорд,1,2
Арсенал,Эвертон,22.05.2022,Эмирейтс - Эшбертон Гроув,Лондон,5,1
Брайтон,Хоув,22.05.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,3,1
