Игроки
Команда,Игрок,Позиция,Рост
Fulham,Layvin Kurzawa,Defender,182cm
Fulham,Cédric Soares,Defender,172cm
Fulham,Harrison Reed,Midfielder,181cm
Fulham,Neeskens Kebano,Midfielder,170cm
Fulham,Harry Wilson,Midfielder,173cm
Fulham,Tom Cairney,Midfielder,186cm
Fulham,João Palhinha,Midfielder,190cm
Fulham,Andreas Pereira,Midfielder,178cm
Fulham,Luke Harris,Midfielder,177cm
Fulham,Luke Harris,Midfielder,177cm
Fulham,Dan James,Midfielder,171cm
Fulham,Sasa Lukic,Midfielder,183cm
Fulham,Tyrese Francois,Midfielder,166cm
Fulham,Tyrese Francois,Midfielder,166cm
Fulham,Aleksandar Mitrovic,Forward,189cm
Fulham,Bobby De Cordova-Reid,Forward,170cm
Fulham,Manor Solomon,Forward,170cm
Fulham,Manor Solomon,Forward,170cm
Fulham,Manor Solomon,Forward,170cm
Fulham,Willian,Forward,174cm
Fulham,Carlos Vinícius,Forward,190cm
Fulham,Carlos Vinícius,Forward,190cm
AFC Bournemouth,Mark Travers,Goalkeeper,191cm
AFC Bournemouth,Neto,Goalkeeper,190cm
AFC Bournemouth,Neto,Goalkeeper,190cm
AFC Bournemouth,Darren Randolph,Goalkeeper,188cm
AFC Bournemouth,Lloyd Kelly,Defender,178cm
AFC Bournemouth,Chris Mepham,Defender,193cm
AFC Bournemouth,Adam Smith,Defender,180cm
AFC Bournemouth,Jack Stacey,Defender,180cm
AFC Bournemouth,Jordan Zemura,Defender,173cm
AFC Bournemouth,Ryan Fredericks,Defender,181cm
AFC Bournemouth,Marcos Senesi,Defender,185cm
AFC Bournemouth,Ben Greenwood,Defender,170cm
AFC Bournemouth,Jack Stephens,Defender,185cm
AFC Bournemouth,Matías Viña,Defender,175cm
AFC Bournemouth,Illia Zabarnyi,Defender,189cm
AFC Bournemouth,Illia Zabarnyi,Defender,189cm
AFC Bournemouth,Lewis Cook,Midfielder,175cm
AFC Bournemouth,David Brooks,Midfielder,173cm
AFC Bournemouth,Jefferson Lerma,Midfielder,179cm
AFC Bournemouth,Ryan Christie,Midfielder,178cm
AFC Bournemouth,Junior Stanislas,Midfielder,183cm
AFC Bournemouth,Philip Billing,Midfielder,193cm
AFC Bournemouth,Joe Rothwell,Midfielder,185cm
AFC Bournemouth,Marcus Tavernier,Midfielder,178cm
AFC Bournemouth,Jack Wadham,Midfielder,183cm
AFC Bournemouth,Ferdinand Okoh,Midfielder,171cm
AFC Bournemouth,Daniel Adu-Adjei,Midfielder,177cm
AFC Bournemouth,Hamed Traorè,Midfielder,184cm
AFC Bournemouth,Dominic Solanke,Forward,187cm
AFC Bournemouth,Kieffer Moore,Forward,196cm
AFC Bournemouth,Jaidon Anthony,Forward,183cm
AFC Bournemouth,Dominic Sadi,Forward,174cm
AFC Bournemouth,Michael Dacosta Gonzalez,Forward,186cm
AFC Bournemouth,Dango Ouattara,Forward,177cm
AFC Bournemouth,Euan Pollock,Forward,173cm
AFC Bournemouth,Antoine Semenyo,Forward,185cm
Brentford,David Raya,Goalkeeper,183cm
Brentford,Matthew Cox,Goalkeeper,182cm
Brentford,Thomas Strakosha,Goalkeeper,186cm
Brentford,Rico Henry,Defender,170cm
Brentford,Ethan Pinnock,Defender,187cm
Brentford,Pontus Jansson,Defender,194cm
Brentford,Kristoffer Ajer,Defender,198cm
Brentford,Zanka,Defender,191cm
Brentford,Mads Roerslev,Defender,184cm
Brentford,Aaron Hickey,Defender,178cm
Brentford,Ben Mee,Defender,180cm
Brentford,Tristan Crama,Defender,192cm
Brentford,Finley Stevens,Defender,179cm
Brentford,Christian Nørgaard,Midfielder,187cm
Brentford,Mathias Jensen,Midfielder,180cm
Brentford,Josh Dasilva,Midfielder,184cm
Brentford,Yoane Wissa,Midfielder,176cm
Brentford,Frank Onyeka,Midfielder,183cm
Brentford,Bryan Mbeumo,Midfielder,173cm
Brentford,Shandon Baptiste,Midfielder,175cm
Brentford,Vitaly Janelt,Midfielder,184cm
Brentford,Mikkel Damsgaard,Midfielder,180cm
Brentford,Ryan Trevitt,Midfielder,170cm
Brentford,Ryan Trevitt,Midfielder,170cm
Brentford,Yehor Yarmolyuk,Midfielder,180cm
Brentford,Kevin Schade,Midfielder,183cm
Brentford,Saman Ghoddos,Forward,176cm
Brentford,Ivan Toney,Forward,179cm
Brentford,Nathan Young-Coombes,Forward,175cm
Brentford,Keane Lewis-Potter,Forward,170cm
Brentford,Alex Gilbert,Forward,183cm
Brentford,Alex Gilbert,Forward,183cm
